Year,RegionCode,PersonsEngaged,AvgHoursWorked
1950,AUS,3.4298734664917,2170.92340600014
1951,AUS,3.52391600608826,2150.84692812436
1952,AUS,3.5916748046875,2130.95611546494
1953,AUS,3.65340876579285,2111.24925100894
1954,AUS,3.73108339309692,2091.72463362217
1955,AUS,3.8112914562225297,2072.38057790234
1956,AUS,3.89543914794922,2053.2154140336
1957,AUS,3.94643235206604,2034.2274876424
1958,AUS,3.9814269542694096,2015.41515965465
1959,AUS,4.030419826507569,1996.77680615425
1960,AUS,4.15540218353271,1978.31081824291
1961,AUS,4.16740036010742,1974.66118205035
1962,AUS,4.2673854827880895,1971.01827879592
1963,AUS,4.38936805725098,1967.38209605853
1964,AUS,4.5468454360961905,1963.75262144
1965,AUS,4.6845760345459,1960.12984256504
1966,AUS,4.8534517288208,1956.51374708117
1967,AUS,5.00527954101563,1952.9043226587
1968,AUS,5.12748718261719,1949.30155699071
1969,AUS,5.27084159851074,1945.70543779296
1970,AUS,5.47068738937378,1942.11595280387
1971,AUS,5.5827751159668,1923.47943311065
1972,AUS,5.652177333831791,1903.1486843544
1973,AUS,5.7987699508667,1889.80663048311
1974,AUS,5.8982224464416495,1907.06658906263
1975,AUS,5.87368726730347,1893.83042450778
1976,AUS,5.96029710769653,1904.20757751879
1977,AUS,6.0140118598938,1906.00769589824
1978,AUS,6.031926155090329,1906.85481042976
1979,AUS,6.11177444458008,1912.25516556813
1980,AUS,6.27751445770264,1909.76282731007
1981,AUS,6.35634326934814,1894.80944824278
1982,AUS,6.34023141860962,1870.65831706951
1983,AUS,6.24129390716553,1857.01413043914
1984,AUS,6.45838212966919,1878.15846117654
1985,AUS,6.68181467056274,1869.26023616357
1986,AUS,6.97703170776367,1873.87447902407
1987,AUS,7.14133453369141,1871.63341663724
1988,AUS,7.41216230392456,1867.85355165658
1989,AUS,7.722003936767581,1877.78087120388
1953,BRA,18.4601802825928,2069.17556400216
1954,BRA,18.9865016937256,2078.31421801986
1955,BRA,19.5319881439209,2087.49323352197
1956,BRA,20.0974941253662,2096.71278876771
1957,BRA,20.6839237213135,2105.9730628036
1958,BRA,21.2922191619873,2115.27423546695
1959,BRA,21.9233779907227,2124.61648738931
1960,BRA,22.578441619873,2134.0
1961,BRA,23.1137161254883,2135.09745675239
1962,BRA,23.6717338562012,2136.19547789622
1963,BRA,24.2537059783936,2137.29406372174
1964,BRA,24.860933303833,2138.39321451934
1965,BRA,25.4947757720947,2139.49293057958
1966,BRA,26.1566886901855,2140.59321219315
1967,BRA,26.8482093811035,2141.69405965091
1968,BRA,27.5709800720215,2142.79547324384
1969,BRA,28.3267383575439,2143.89745326311
1970,BRA,29.1173305511475,2145.0
1971,BRA,30.8243865966797,2128.54069188877
1972,BRA,32.5314445495605,2112.20768159735
1973,BRA,36.5047187805176,2096.0
1974,BRA,37.4015083312988,2079.77069469066
1975,BRA,38.370906829834,2063.66705271665
1976,BRA,39.41823196411129,2047.6881010681
1977,BRA,43.251895904541,2031.83287426918
1978,BRA,44.6515159606934,2016.10041431973
1979,BRA,43.8311233520508,2000.48977063734
1980,BRA,43.3106002807617,1985.0
1981,BRA,45.1223487854004,1974.09682324294
1982,BRA,47.5642356872559,1963.25353528356
1983,BRA,48.1008033752441,1952.46980716562
1984,BRA,49.8299293518066,1941.74531173975
1985,BRA,53.52490234375,1931.07972365356
1986,BRA,55.0177192687988,1920.47271934174
1987,BRA,56.9767951965332,1909.92397701625
1988,BRA,58.9441986083984,1899.43317665658
1989,BRA,60.164524078369105,1889.0
1950,AUT,2.93492031097412,2085.66955312128
1951,AUT,2.99060606956482,2083.01565640352
1952,AUT,2.92352199554443,2080.36513661945
1953,AUT,2.89193153381348,2077.71798947212
1950,JPN,39.4076538085938,2030.41375676575
1951,JPN,40.3846893310547,2012.99068640159
1952,JPN,41.3420639038086,1995.71712417582
1953,JPN,42.2619705200195,1978.59178715246
1954,JPN,42.8019905090332,2008.94539994689
1955,JPN,44.17364501953129,2034.5163777633
1956,JPN,45.048473358154304,2084.96679729844
1957,JPN,46.236518859863295,2108.04278645215
1958,JPN,46.42012405395511,2133.14480654869
1959,JPN,46.8197402954102,2156.24464481454
1960,JPN,47.9105796813965,2172.89893267914
1961,JPN,48.580207824707,2175.31375319942
1962,JPN,49.2066268920898,2152.70004075456
1963,JPN,49.6278495788574,2146.32761481749
1964,JPN,50.275863647460895,2153.52914440859
1965,JPN,51.0858955383301,2135.12227431139
1966,JPN,52.1335411071777,2142.94738218359
1967,JPN,53.1379776000977,2156.57111750996
1968,JPN,54.023605346679695,2160.34003133206
1969,JPN,54.434024810791,2147.01177688185
1970,JPN,55.0172424316406,2137.21731639745
1971,JPN,55.4775390625,2129.29543160703
1972,JPN,55.7903213500977,2131.66477340324
1973,JPN,57.06272506713871,2117.54424568745
1974,JPN,56.836887359619105,2058.716300508
1975,JPN,56.6813888549805,2030.26187300746
1976,JPN,57.1728744506836,2057.49999428589
1977,JPN,57.880050659179695,2064.00628379229
1978,JPN,58.4456977844238,2067.98769065705
1979,JPN,59.0479393005371,2072.70305281582
1980,JPN,59.4690170288086,2073.94376055755
1981,JPN,59.9564323425293,2068.82762754195
1982,JPN,60.475730895996094,2068.61854223865
1983,JPN,61.390869140625,2074.86016419423
1984,JPN,61.5945663452148,2089.27975421208
1985,JPN,61.911994934082,2076.76733241684
1986,JPN,62.1682090759277,2078.49523186098
1987,JPN,62.3937873840332,2083.96817010621
1988,JPN,63.111019134521506,2080.43771837266
1989,JPN,64.0283966064453,2061.36169143406
1950,PRT,3.04824829101563,2404.89941086042
1951,PRT,3.04691934585571,2389.61917819866
1952,PRT,3.04121017456055,2374.43603296981
1953,PRT,3.04140758514404,2359.34935830042
1954,PRT,3.04146265983582,2344.35854123656
1955,PRT,3.04386043548584,2329.46297271884
1956,PRT,3.04700350761414,2314.66204755775
1957,PRT,2.98539161682129,2299.955164409
1958,PRT,3.0899453163147,2285.34172574912
1959,PRT,3.11141633987427,2270.82113785119
1960,PRT,3.1515576839447,2256.39281076071
1961,PRT,3.15489411354065,2243.96572802558
1962,PRT,3.14595746994019,2231.60708744494
1963,PRT,3.13678288459778,2219.31651207361
1964,PRT,3.12784647941589,2207.0936270425
1965,PRT,3.11867165565491,2194.93805954706
1966,PRT,3.10318231582642,2182.849438836
1967,PRT,3.0841178894043,2170.82739619991
1968,PRT,3.06505370140076,2158.87156496007
1969,PRT,3.04598951339722,2146.98158045723
1970,PRT,3.14250230789185,2102.06894608127
1971,PRT,3.23596382141113,2101.82634617048
1972,PRT,3.25991868972778,2101.42927870173
1973,PRT,3.27687215805054,2100.07288669177
1974,PRT,3.51229047775269,2109.88995846218
1975,PRT,3.6058495044708305,2110.02542187598
1976,PRT,3.6268060207366895,2105.66854095506
1977,PRT,3.68220829963684,2106.6020325306
1978,PRT,3.7065553665161106,2091.966986415
1979,PRT,3.78485918045044,2076.95858210673
1980,PRT,3.8833768367767294,2058.16273442629
1981,PRT,3.9008982181549103,2040.81987384722
1982,PRT,3.91493797302246,2020.72874649636
1983,PRT,4.103524684906009,2002.73205320838
1984,PRT,4.095333576202391,1985.72911436744
1985,PRT,4.07488918304443,1971.31378350629
1986,PRT,4.07682466506958,1958.9087589839
1987,PRT,4.17539262771606,1974.26237858523
1988,PRT,4.27629947662354,1954.37809393128
1978,DEU,37.9211311340332,1787.82508145207
1979,DEU,38.3973503112793,1775.78585531434
1980,DEU,38.7049713134766,1756.72374726295
1981,DEU,38.6210479736328,1734.65183267712
